# Snapshot taken on Thu Apr 27 18:30:52 EDT 2017 from: https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population
	City	State	Count (2015)	Census (2010)	Change	Land area (2014) [English]	Land area (2014) [SI]	Population density (2010) [English]	Population density (2010) [SI]	Location
55	Honolulu[2]	Hawaii	352,769	337,256	+4.60%	60.5 sq mi	156.7 km2	5,573 per sq mi	2,152 km−2	21.3259°N 157.8453°W
56	Anaheim	California	350,742	336,265	+4.31%	49.8 sq mi	129.1 km2	6,748 per sq mi	2,605 km−2	33.8555°N 117.7601°W
57	Santa Ana	California	335,400	324,528	+3.35%	27.3 sq mi	70.6 km2	11,901 per sq mi	4,595 km−2	33.7365°N 117.8826°W
58	Corpus Christi	Texas	324,074	305,215	+6.18%	160.6 sq mi	416.0 km2	1,900 per sq mi	734 km−2	27.7543°N 97.1734°W
59	Riverside	California	322,424	303,871	+6.11%	81.1 sq mi	210.2 km2	3,745 per sq mi	1,446 km−2	33.9381°N 117.3932°W
60	St. Louis[15]	Missouri	315,685	319,294	−1.13%	61.9 sq mi	160.3 km2	5,157 per sq mi	1,991 km−2	38.6357°N 90.2446°W
61	Lexington[18]	Kentucky	314,488	295,803	+6.32%	283.6 sq mi	734.6 km2	1,043 per sq mi	403 km−2	38.0402°N 84.4584°W
62	Stockton	California	305,658	291,707	+4.78%	61.7 sq mi	159.7 km2	4,730 per sq mi	1,826 km−2	37.9763°N 121.3133°W
63	Pittsburgh	Pennsylvania	304,391	305,704	−0.43%	55.4 sq mi	143.4 km2	5,521 per sq mi	2,132 km−2	40.4398°N 79.9766°W
64	Saint Paul	Minnesota	300,851	285,068	+5.54%	52.0 sq mi	134.6 km2	5,484 per sq mi	2,118 km−2	44.9489°N 93.1039°W
65	Anchorage[19]	Alaska	298,695	291,826	+2.35%	1,704.7 sq mi	4,415.1 km2	171 per sq mi	66 km−2	61.2176°N 149.8953°W
66	Cincinnati	Ohio	298,550	296,943	+0.54%	77.9 sq mi	201.9 km2	3,810 per sq mi	1,471 km−2	39.1399°N 84.5064°W
67	Henderson	Nevada	285,667	257,729	+10.84%	107.7 sq mi	279.0 km2	2,392 per sq mi	924 km−2	36.0122°N 115.0375°W
68	Greensboro	North Carolina	285,342	269,666	+5.81%	126.5 sq mi	327.7 km2	2,131 per sq mi	823 km−2	36.0965°N 79.8271°W
69	Plano	Texas	283,558	259,841	+9.13%	71.6 sq mi	185.4 km2	3,630 per sq mi	1,402 km−2	33.0508°N 96.7479°W
70	Newark	New Jersey	281,944	277,140	+1.73%	24.2 sq mi	62.6 km2	11,458 per sq mi	4,424 km−2	40.7242°N 74.1726°W
71	Toledo	Ohio	279,789	287,208	−2.58%	80.7 sq mi	209.0 km2	3,559 per sq mi	1,374 km−2	41.6641°N 83.5819°W
